Reference,Institution_Name,Address_1,Postcode,Email,Institution_Type,Latitude,Longitude,Pupil_Teacher_Ratio,Number_Pupils_2015
5012635,Augher Central Primary School,17 KNOCKMANY ROAD,BT77 0BE,info@aughercentral.augher.ni.sch.uk,Primary school,54.43229,-7.13576,18.29,86
5210153,Aughnacloy High School,23 CARNTEEL ROAD,BT69 6DX,info@ahs.aughnacloy.ni.sch.uk,Secondary (non-grammar) school,54.41909,-6.965,11.49,153
5AB0233,Aughnacloy Playgroup Ltd,Unit 1,BT69 6DU,aughnacloyplaygroup@hotmail.co.uk,VP Pre-schools,54.41801,-6.97037,,0
5012621,Aughnacloy Primary School,1 CARNTEEL ROAD,BT69 6DU,info@aughnacloyps.aughnacloy.ni.sch.uk,Primary school,54.41641,-6.97006,22.83,137
3AB0568,Ballee pre-School Playgroup,20 Antrim Road,BT42 2BJ,,VP Pre-schools,54.85359,-6.27464,,0
2011893,Ballinamallard Primary School,19 BARAGH ROAD,BT94 2NY,info@ballinamallardps.enniskillen.ni.sch.uk,Primary school,54.42414,-7.59608,20.41,144
3AB0101,Ballinascreen Early Years,The Business Park,BT45 7AG,,VP Pre-schools,54.79559,-6.7815,,0
5AB0217,Ballinderry Playgroup,Ballinderry Parochial Centre,BT80 0AY,ballinderryplaygroup@btconnect.com,VP Pre-schools,54.66954,-6.54657,,0
4016202,Ballinderry Primary School,8D CRUMLIN ROAD,BT28 2BF,info@ballinderryps.lisburn.ni.sch.uk,Primary school,54.54562,-6.25691,21.66,204
2012095,Ballougry Primary School,30A MULLENAN ROAD,BT48 9XN,info@ballougryps.londonderry.ni.sch.uk,Primary school,54.97118,-7.38495,26.33,79
4AB0151,Ballybeen Women's Centre Pre-School,34 Ballybeen Square,BT16 2QE,linda@ballybeenwomenscentre.org,VP Pre-schools,54.59088,-5.79129,,0
4010720,Ballycarrickmaddy Primary School,1A KILLULTAGH ROAD,BT28 2NX,info@ballycarrickmaddyps.lisburn.ni.sch.uk,Primary school,54.55026,-6.14451,26.43,178
3AB0116,Ballycarry Playgroup,Old Presbyterian Church Hall,BT38 9HG,,VP Pre-schools,54.77188,-5.75148,,0
3010809,Ballycarry Primary School,23 HILLHEAD ROAD,BT38 9HE,info@ballycarryps.carrickfergus.ni.sch.uk,Primary school,54.77627,-5.75245,28.17,72
3210124,Ballycastle High School,33 RATHLIN ROAD,BT54 6LD,info@ballycastlehigh.ballycastle.ni.sch.uk,Secondary (non-grammar) school,55.20399,-6.24967,14.87,411
3053333,Ballycastle Integrated Primary School,43 QUAY ROAD,BT54 6BJ,info@ballycastleips.ballycastle.ni.sch.uk,Primary school,55.20358,-6.24199,22.54,176
3410008,Ballyclare High School,31 RASHEE ROAD,BT39 9HJ,info@ballyclarehigh.ballyclare.ni.sch.uk,Secondary (grammar) school,54.75463,-6.00355,15.89,1225
3116220,Ballyclare Nursery School,GRANGE DRIVE,BT39 9EY,info@ballyclarens.ballyclare.ni.sch.uk,Nursery school,54.75323,-6.0125,18.97,0
3010631,Ballyclare Primary School,DOAGH ROAD,BT39 9BG,info@ballyclareps.ballyclare.ni.sch.uk,Primary school,54.75168,-6.00229,25.52,495
3210134,Ballyclare Secondary School,19 DOAGH ROAD,BT39 9BG,info@ballyclaresec.ballyclare.ni.sch.uk,Secondary (non-grammar) school,54.7504,-6.00279,13.69,1022
3013331,Ballycraigy Primary School,22 BRACKEN AVENUE,BT41 1PU,info@ballycraigyps.antrim.ni.sch.uk,Primary school,54.70699,-6.18977,17.23,143
4AB0171,Ballycrochan Playgroup,Ballycrochan Presbyterian Church,BT19 6EU,micheleroberts2000@gmail.com,VP Pre-schools,54.65186,-5.63399,,0
5011617,Ballydown Primary School,64 LISNAREE ROAD,BT32 4JN,info@ballydown.banbridge.ni.sch.uk,Primary school,54.3433,-6.23255,25.22,312
5AB0205,Ballygawley Early Years,Fairfield House Playing Fields,BT70 2HD,ballygawleyearlyyears@hotmail.com,VP Pre-schools,54.46082,-7.03081,,0
4BB0167,Ballygowan Community Playgroup,Alexander Dickson Primary School,BT23 5TN,ballygowancommunityplaygroup@hotmail.co.uk,VP Pre-schools,54.50364,-5.78846,,0
3032104,Ballyhackett Primary School,50 ALTIKEERAGH ROAD,BT51 4SR,info@ballyhackettps.castlerock.ni.sch.uk,Primary school,55.13868,-6.81702,13.67,40
3116166,Ballyhenry Nursery School,GLENVARNA COURT,BT36 5JD,info@ballyhenryns.glengormley.ni.sch.uk,Nursery school,54.67917,-5.96781,26.5,0
3016170,Ballyhenry Primary School,BALLYHENRY AVENUE,BT36 5AZ,info@ballyhenryps.newtownabbey.ni.sch.uk,Primary school,54.67977,-5.96866,19.63,157
5031558,Ballyholland Primary School,60 BETTYS HILL ROAD,BT34 2ND,info@ballyholland.newry.ni.sch.uk,Primary school,54.15413,-6.29348,25.66,229
4AB0275,Ballyholme Presbyterian Church Playgroup,Ballyholme Presbyterian Church,BT20 5RD,bpchpreschool@btinternet.com,VP Pre-schools,54.66252,-5.6395,,0
4011650,Ballyholme Primary School,GLENBURN PARK,BT20 5RG,info@ballyholmeps.bangor.ni.sch.uk,Primary school,54.66313,-5.63886,24.79,631
3013315,Ballykeel Primary School,22 CREBILLY ROAD,BT42 4DN,info@ballykeelps.ballymena.ni.sch.uk,Primary school,54.85935,-6.25591,20.38,378
2012298,Ballykelly Primary School,8 GLENHEAD ROAD,BT49 9JS,info@ballykelly.limavady.ni.sch.uk,Primary school,55.04296,-7.01616,20.96,275
4AB0374,Ballykinlar Cross Community Preschool,The Playing Fields,BT30 8DJ,stephaniemurray1@aol.com,VP Pre-schools,54.25647,-5.79357,,0
5032208,Ballylifford Primary School,142 BALLINDERRY BRIDGE ROAD,BT80 0AY,info@ballylifford.cookstown.ni.sch.uk,Primary school,54.66968,-6.54753,20.25,67
4016441,Ballymacash Primary School,16 BROKERSTOWN ROAD,BT28 2EE,info@ballymacashps.lisburn.ni.sch.uk,Primary school,54.52508,-6.08215,27.85,373
4030823,Ballymacrickett Primary School,44 SCROGGY ROAD,BT29 4NE,info@ballymacrickettps.lisburn.ni.sch.uk,Primary school,54.5782,-6.22423,23.6,355
4BB0173,Ballymacward Pre-School Playgroup,Ballymacward Primary School,BT28 3SU,,VP Pre-schools,54.58002,-6.10589,,0
4030573,Ballymacward Primary School,22 ROCK ROAD,BT28 3SU,info@ballymacwardps.lisburn.ni.sch.uk,Primary school,54.58002,-6.10589,16,64
4016430,Ballymagee Primary School,77 ASHBURY AVENUE,BT19 6ZG,info@ballymagee.bangor.ni.sch.uk,Primary school,54.64566,-5.63473,25.37,406
3420011,Ballymena Academy,89 GALGORM ROAD,BT42 1AJ,info@balacademy.ballymena.ni.sch.uk,Secondary (grammar) school,54.86499,-6.29292,15.88,1225
3110037,Ballymena Nursery School,TROSTAN AVENUE,BT43 7BL,info@ballymenans.ballymena.ni.sch.uk,Nursery school,54.86246,-6.26794,20.8,0
3010875,Ballymena Primary School,101 BALLYMONEY ROAD,BT43 5BX,info@ballymenaps.ballymena.ni.sch.uk,Primary school,54.87066,-6.2817,26.23,299
3AB0355,Ballymoney & District Community Playgroup,Trinity Church Hall,BT53 6BY,,VP Pre-schools,55.071,-6.50887,,0
3050866,Ballymoney Controlled Integrated Primary School,23 NORTH ROAD,BT53 6BW,info@ballymoneymodelcips.ballymoney.ni.sch.uk,Primary school,55.07209,-6.52423,21.3,354
3210133,Ballymoney High School,17 GARRYDUFF ROAD,BT53 7AN,info@ballymoneyhigh.ballymoney.ni.sch.uk,Secondary (non-grammar) school,55.06822,-6.5033,14.32,649
3116034,Ballymoney Nursery School,NORTH ROAD,BT53 6BW,info@ballymoneyns.ballymoney.ni.sch.uk,Nursery school,55.07225,-6.52333,21.11,0
4011567,Ballynahinch Primary School,CROOB PARK,BT24 8BB,info@ballynahinchps.ballynahinch.ni.sch.uk,Primary school,54.3991,-5.90373,21.13,198
3010802,Ballynure Primary School,2 LISMENARY ROAD,BT39 9UE,info@ballynureps.ballynure.ni.sch.uk,Primary school,54.77371,-5.95419,19,133
5016117,Ballyoran Primary School,BALLYORAN PARK,BT62 1JY,info@ballyoran.portadown.ni.sch.uk,Primary school,54.43281,-6.4525,18.53,200
3AB0264,Ballyronan Community Playgroup,Marine Centre,BT45 6JA,,VP Pre-schools,54.70916,-6.52962,,0
3116263,Ballysally Nursery School,BALLYSALLY LANE,BT52 2QA,info@ballysallyns.coleraine.ni.sch.uk,Nursery school,55.14988,-6.66046,26,0
3016252,Ballysally Primary School,DANE'S HILL ROAD,BT52 2QU,info@ballysallyps.coleraine.ni.sch.uk,Primary school,55.14639,-6.66074,15.25,244
1016076,Ballysillan Primary School,BALLYSILLAN PARK,BT14 8LT,info@ballysillan.belfast.ni.sch.uk,Primary school,54.63236,-5.96992,22.37,144
3010892,Ballytober Primary School,60 PRIESTLAND ROAD,BT57 8UR,info@ballytoberps.bushmills.ni.sch.uk,Primary school,55.1852,-6.55429,22.5,81
5012615,Ballytrea Primary School,52 GORTNASKEA ROAD,BT71 5NY,info@ballytrea.stewartstown.ni.sch.uk,Primary school,54.61112,-6.65606,17.96,78
4011265,Ballyvester Primary School,244 KILLAUGHEY ROAD,BT21 0NF,info@ballyvesterps.donaghadee.ni.sch.uk,Primary school,54.62597,-5.55909,21.48,116
4BB0432,Ballywalter Pre-School Unit,C/O Ballywalter Primary School,BT22 2NT,,VP Pre-schools,54.54533,-5.48737,,0
4011566,Ballywalter Primary School,12 STUMP ROAD,BT22 2NT,info@ballywalterps.newtownards.ni.sch.uk,Primary school,54.54533,-5.48737,21.13,169
3016447,Balnamore Primary School,80 BALNAMORE ROAD,BT53 7PT,info@balnamoreps.ballymoney.ni.sch.uk,Primary school,55.06492,-6.56349,19.51,103
2AB0299,Banagher Community Playgroup,4a Beechmount,BT47 4TZ,,VP Pre-schools,54.89287,-7.02161,,0
3AB0106,Banana Bunch Playgroup,Whitehead Presbyterian Church Hall,BT38 9PU,,VP Pre-schools,54.75353,-5.71312,,0
5410013,Banbridge Academy,LURGAN ROAD,BT32 4AQ,info@banbridgeacademy.banbridge.ni.sch.uk,Secondary (grammar) school,54.35685,-6.2707,17.09,1320
5210047,Banbridge High School,69A PRIMROSE GARDENS,BT32 3EW,info@banbridgehigh.banbridge.ni.sch.uk,Secondary (non-grammar) school,54.34497,-6.27792,12.33,503
5116238,Banbridge Nursery School,3A LURGAN ROAD,BT32 4AF,info@banbridgens.banbridge.ni.sch.uk,Nursery school,54.35565,-6.26825,26,0
4AB0472,Bangor Abbey Pre-School Centre,Temporary Accommodation,BT20 3JW,,VP Pre-schools,54.65172,-5.6817,,0
4210296,Bangor Academy and 6th Form College,2 Castle Park Road,BT20 4TB,info@bangoracademy.bangor.ni.sch.uk,Secondary (non-grammar) school,54.65724,-5.66469,16.32,1483
4051680,Bangor Central Integrated Primary School,6 CASTLE PARK ROAD,BT20 4TF,info@bangorcips.bangor.ni.sch.uk,Primary school,54.65818,-5.66693,24.19,602
4110029,Bangor Central Nursery School,4 Castle Park Road,BT20 4TF,info@bangorns.bangor.ni.sch.uk,Nursery school,54.65856,-5.66741,26.25,0
4420015,Bangor Grammar School,Gransha Road,BT19 7QU,info@bgs.bangor.ni.sch.uk,Secondary (grammar) school,54.64262,-5.64773,16.74,874
4AB0164,Bangor West Nursery Playgroup,West Church Halls,BT19 1DF,,VP Pre-schools,54.66011,-5.70287,,0
4116018,Barbour Nursery School,73 ASHMOUNT GARDENS,BT27 5BZ,info@barbourns.lisburn.ni.sch.uk,Nursery school,54.51173,-6.02837,26,0
3030800,Barnish Primary School,100 CUSHENDALL ROAD,BT54 6QY,info@barnishps.ballycastle.ni.sch.uk,Primary school,55.20007,-6.18979,17.67,53
5AB0505,Beacon Playgroup,52 Milburn Close,BT80 8HF,alicestewart1@hotmail.co.uk,VP Pre-schools,54.65094,-6.75227,,0
4310008,Beechlawn Special School,3 DROMORE ROAD,BT26 6PA,info@beechlawnss.hillsborough.ni.sch.uk,Special school,54.4585,-6.08623,7.71,0
4AB0433,Bees Nees Early Years Centre,8a Glenard Road,BT23 4HS,,VP Pre-schools,54.5992,-5.69927,,0
2AB0320,Belcoo Playgroup,Community Centre,BT93 5DS,,VP Pre-schools,54.30158,-7.87875,,0
1210022,Belfast Boys' Model School,BALLYSILLAN ROAD,BT14 6RB,info@bbms.belfast.ni.sch.uk,Secondary (non-grammar) school,54.63248,-5.96157,13.45,968
3420077,Belfast High School,740 SHORE ROAD,BT37 0PX,info@belfasthigh.newtownabbey.ni.sch.uk,Secondary (grammar) school,54.68683,-5.87643,15.89,917
1210021,Belfast Model School For Girls,35 Dunowen Gardens,BT14 6NQ,info@girlsmodel.belfast.ni.sch.uk,Secondary (non-grammar) school,54.62444,-5.95533,14.14,910
1420028,Belfast Royal Academy,5-17 CLIFTONVILLE ROAD,BT14 6JL,info@bfsra.belfast.ni.sch.uk,Secondary (grammar) school,54.61479,-5.93908,16.88,1400
3012290,Bellaghy Primary School,79 WILLIAM STREET,BT45 8HZ,info@bellaghyps.magherafelt.ni.sch.uk,Primary school,54.81133,-6.5142,14,56
2012087,Bellarena Primary School,260 SEACOAST ROAD,BT49 0JB,info@bellarenaps.limavady.ni.sch.uk,Primary school,55.11761,-6.95377,19.5,39
2AB0319,Belleek Pre-School Playgroup,Stepping Stones Centre,BT93 3FY,,VP Pre-schools,54.47978,-8.09047,,0
2011860,Belleek(2) Primary School,CORRY,BT93 3EZ,info@belleekps.belleek.ni.sch.uk,Primary school,54.47058,-8.0956,14.17,31
2116345,Belmont Nursery School,19B RACECOURSE ROAD,BT48 8NF,info@belmontnurseryschool.co.uk,Nursery school,55.01799,-7.31897,27.5,0
1BB0494,Belmont Playcare,215 Belmont Road,BT4 2DG,info@belmontplaygroup.org,VP Pre-schools,54.59878,-5.86641,,0
1010012,Belmont Primary School,215 BELMONT ROAD,BT4 2AG,info@belmont.belfast.ni.sch.uk,Primary school,54.59878,-5.86641,23.52,254
4013013,Belvoir Park Primary School,BELVOIR DRIVE,BT8 7DL,info@belvoirps.belfast.ni.sch.uk,Primary school,54.55143,-5.93096,17.13,254
1620028,Ben Madigan Preparatory School,690 ANTRIM ROAD,BT15 5GP,info@benmadigan.belfast.ni.sch.uk,Preparatory Schools,54.64413,-5.93679,17.75,142
5AB0406,Benburb Community Playgroup,3 Drumgoose Road,BT71 7JT,benburb@btconnect.com,VP Pre-schools,54.4143,-6.74519,,0
1BB0024,Benmore Playgroup,C/O Finaghy Primary Campus,BT10 0DR,benmoreplaygroup@yahoo.co.uk,VP Pre-schools,54.55943,-5.98179,,0
5011179,Bessbrook Primary School,14 CHURCH ROAD,BT35 7AQ,info@bessbrookps.bessbrook.ni.sch.uk,Primary school,54.19491,-6.39713,22.73,74
1130027,Bethlehem Nursery School,516 RAVENHILL ROAD,BT6 0BW,info@bethlehemns.belfast.ni.sch.uk,Nursery school,54.5788,-5.9105,26,0
4CA0616,Big Red Balloon Day Nursery,64 Broadway,BT20 4RG,,VP Pre-schools,54.65836,-5.65631,,0
5011174,Birches Primary School,14 CLONMAKATE ROAD,BT62 1LR,info@birches.portadown.ni.sch.uk,Primary school,54.48833,-6.54945,23.86,167
1016059,Blackmountain Primary School,BLACK MOUNTAIN PLACE,BT13 3TT,info@blackmountain.belfast.ni.sch.uk,Primary school,54.6008,-5.97868,13.63,143
4260309,Blackwater Integrated College,12 Old Belfast Road,BT30 6SG,info@blackwateric.downpatrick.ni.sch.uk,Secondary (non-grammar) school,54.33884,-5.71559,10.45,213
5011602,Bleary Primary School,6 DEAN'S ROAD,BT66 8TD,info@bleary.craigavon.ni.sch.uk,Primary school,54.42462,-6.34141,17.69,113
5032463,Blessed Patrick O'loughran Primary School,136 OLD CAULFIELD ROAD,BT70 3NQ,info@castlecaulfield.dungannon.ni.sch.uk,Primary school,54.5053,-6.82981,20.89,90
2116266,Bligh's Lane Nursery School,3 BLIGH'S LANE,BT48 9PJ,info@blighslanens.derry.ni.sch.uk,Nursery school,54.99551,-7.33831,28,0
1410315,Bloomfield Collegiate,8 ASTORIA GARDENS,BT5 6HW,info@bloomfield.belfast.ni.sch.uk,Secondary (grammar) school,54.59413,-5.86458,15.8,691
4013023,Bloomfield Primary School,BLOOMFIELD ROAD SOUTH,BT19 7PN,info@bloomfieldps.bangor.ni.sch.uk,Primary school,54.6445,-5.65864,21.41,395
1016207,Blythefield Primary School,BLYTHE STREET,BT12 5HX,info@blythefield.belfast.ni.sch.uk,Primary school,54.59156,-5.94318,18,90
2AB0528,Bo Peeps Playgroup,Boho Community Hall,BT74 5BE,,VP Pre-schools,54.34517,-7.80708,,0
4AB0165,Bo-Peep Corner Pre-School Playgroup,St Gall's Church,BT19 1BT,,VP Pre-schools,54.66037,-5.71267,,0
5016138,Bocombra Primary School,1 OLD LURGAN ROAD,BT63 5SG,info@bocombra.portadown.ni.sch.uk,Primary school,54.43029,-6.41221,24.88,323
5BB0324,Bosco Community Playgroup,19 Loy Street,BT80 8PZ,annemcgirr27@gmail.com,VP Pre-schools,54.64324,-6.74537,,0
1016499,Botanic Primary School,6 BOTANIC COURT,BT7 1QY,info@botanic.belfast.ni.sch.uk,Primary school,54.58172,-5.92933,17.62,192
5016098,Brackenagh West Primary School,22 CHURCH ROAD,BT34 4QB,info@brackenaghwest.kilkeel.ni.sch.uk,Primary school,54.09891,-5.97042,22.48,178
3066551,Braidside Integrated Primary School,87 FRY'S ROAD,BT43 7EN,info@braidsideintegratedps.ballymena.ni.sch.uk,Primary school,54.88092,-6.26168,20.76,291
2BB0342,Brambly Hedge Community Playgroup,12 Cloughboy Road,BT82 0DN,,VP Pre-schools,54.92131,-7.42196,,0
4011683,Braniel Primary School,RAVENSWOOD PARK,BT5 7JU,info@branielps.belfast.ni.sch.uk,Primary school,54.57745,-5.8606,21.02,313
2016645,Bready Jubilee Primary School,12 CLOUGHBOY ROAD,BT82 0DN,info@bready.strabane.ni.sch.uk,Primary school,54.92131,-7.42196,25.42,122
4210316,Breda Academy,NEWTOWNBREDA ROAD,BT8 6PY,info@breda.belfast.ni.sch.uk,Secondary (non-grammar) school,54.55493,-5.91503,14.03,900
1110028,Brefne Nursery School,111 SALISBURY AVE,BT15 5EB,info@brefnens.belfast.ni.sch.uk,Nursery school,54.63051,-5.94188,26,0
5066540,Bridge Integrated Primary School,70 BALLYGOWAN ROAD,BT32 3EL,info@bridge.banbridge.ni.sch.uk,Primary school,54.34448,-6.28375,25.08,416
1CA0635,Bright Sparks,Skainos Building,BT5 4HR,tanya.malone@ebm.org.uk,VP Pre-schools,54.59843,-5.89944,,0
4BB0584,Bright Sparks Pre-School,Crawfordsburn Primary School,BT19 1JA,,VP Pre-schools,54.65785,-5.72436,,0
2032278,Broadbridge Primary School,3 COOLAFINNY ROAD,BT47 3PG,info@broadbridge.derry.ni.sch.uk,Primary school,55.03198,-7.18514,23.17,417
5AA0197,Brockagh Playgroup,Brockagh Youth Centre,BT71 5DQ,margaret-fitz@hotmail.co.uk,VP Pre-schools,54.55519,-6.6072,,0
5016612,Bronte Primary School,39 BALLINASKEAGH ROAD,BT32 5BL,info@bronte.banbridge.ni.sch.uk,Primary school,54.26302,-6.23987,25.78,170
2AB0318,Brookeborough & District Community Playgroup,Station House,BT94 4EZ,,VP Pre-schools,54.31437,-7.40822,,0
2011894,Brookeborough Primary School,BROOKEBOROUGH,BT94 4EZ,info@brookeboroughps.enniskillen.ni.sch.uk,Primary school,54.31494,-7.40359,23,67
4316022,Brookfield Special School,65 HALFPENNY GATE ROAD,BT67 0HP,info@brookfieldss.craigavon.ni.sch.uk,Special school,54.48972,-6.18449,9.35,0
4016503,Brooklands Primary School,2A BROOKLANDS AVENUE,BT16 2PA,info@brooklandsps.belfast.ni.sch.uk,Primary school,54.59455,-5.7918,22.7,473
3AB0142,Broughshane Centre of Early Learning,Community Centre,BT42 4JY,,VP Pre-schools,54.89339,-6.21508,,0
